sound,label
[-24 -11   0 ...  48  11 -23],0
[  44  -40 -175 ... -201 -182 -172],4
[325 370 419 ... 322 326 318],1
[   0    0 -256 ... -512 -256 -256],1
[ -9 -13 -13 ...   8  -2  30],8
[ 8 -1  6 ...  1 -2  4],1
[ 158  572  781 ...  -74  -85 -121],3
[ 82   3 -86 ...  14 -24  -7],3
[   0    0    0 ...    0    0 -256],4
[-358 -447 -533 ... -313 -261 -310],0
[-154  274  -83 ...  170  224  328],7
[1685 1242  781 ...  153  134   85],0
[ -8   2   1 ... -32   4 -23],8
[-256    0    0 ... -256 -256 -512],7
[-347 -225  156 ...  176  229  314],5
[-148 -171 -154 ... -135 -110  -76],0
[  42    0   11 ...  114 -239 -135],8
[-256    0    0 ...    0 -256    0],3
[-34   7  -2 ...  77  66   0],2
[  2  -4   3 ...  29  14 -23],4
[-318   77   12 ... -279 -300 -324],7
[-10   2   0 ...  -2   6   3],4
[ 3  5  3 ...  1 -1 -2],8
[-164   -4  -61 ...   71  120  153],6
[ 382  459  530 ... -254 -301 -309],0
[-302 -332 -343 ... -109  221 -321],1
[ -4 -39  20 ...  48  48  28],7
[11 -1  1 ... -5  5  0],9
[-403  140    4 ... -252 -237 -323],5
[-1  0 -4 ... 24 47 43],2
[196 230 262 ... 142 143 154],9
[ -8  -2  12 ...  17 -17 -23],8
[ 1 -5  2 ...  3  0 13],2
[-256 -256 -256 ...    0 -256    0],0
[-164 -119 -142 ...   29  -19  -90],0
[ 12  12   2 ...  -3  -1 -12],7
[-302 -311 -243 ... -128  -16 -355],8
[-167   -9 -122 ...  160  187  176],6
[ 33  55  45 ... -37 -30 -33],9
[-512 -768 -512 ...    0 -256    0],0
[-10   4  -5 ... -10 -12 -12],0
[-86  -6 -85 ... 148  89  -9],8
[28 42 14 ... -2 -2  6],2
[-256    0 -256 ...    0 -256    0],7
[ 231  303  294 ...  433  268 -233],8
[-512    0 -512 ... -256 -512 -256],1
[-256 -256    0 ... -256 -256    0],6
[   0    0    0 ... -768 -512 -768],5
[-256 -512 -256 ... -256 -768 -768],7
[ -1   9   1 ...  -6  -2 -17],3
[-28  29  40 ... -99 -66 -14],1
[-25  -3   8 ...   0  22  17],5
[-951 -282  401 ...  293  340  325],2
[  4   4  -4 ...  -4 -16  -4],2
[ 7  8  1 ... -2  5 19],8
[157 160 143 ... 112 -92 189],6
[ 233 -152 -210 ...   93 -187  230],6
[ -2 -18  -2 ... -18 -20 -18],4
[  5   3  -8 ...   7  19 -16],3
[ 7 -5  4 ... 24 40 -8],5
[ 11 -50 -39 ... 131  53 -46],8
[64 29 -4 ... 74 80 54],2
[-518 -429 -364 ... -356 -353 -213],0
[ -4 -46 -67 ... -50  26 -60],6
[ 7  4  3 ... 11  4 -1],2
[11 -2  4 ...  0  5 39],2
[-58  72 -10 ...   2 -14  32],8
[ 8 17 14 ...  4  4  8],3
[-37 -34 -31 ... -64  83  46],8
[310 278 214 ... 380 369 317],4
[-305 -312 -290 ...  296  395  380],5
[-559 -466  306 ... -309 -327 -310],4
[-256 -512 -256 ...    0 -256 -256],4
[ 141  138  112 ...  100   -4 -133],9
[13  6  5 ... -8 -7  5],1
[-993 -328 -169 ...  321  320  324],2
[  8  -3   7 ... -14 -25 -23],1
[  46 -108   85 ...  171  112   81],5
[-206 -275 -341 ...  176  186  161],9
[ 24  20  20 ... -17  -9  -6],9
[-26 -19 -24 ...  20  16   6],9
[-5  9  3 ... 26 16 21],0
[   0    0 -256 ...    0    0 -256],3
[-40 -55 -48 ...  13  13   3],6
[ -8  -7   0 ... -18 -22 -20],6
[-30 -42 -43 ...   6  27  15],3
[  469 -1055   119 ...   279   296   310],2
[-19 -27 -29 ...  -5   1  20],1
[ 7  6 -8 ... 29 27 31],7
[ -6  29 -26 ...  24  25 -15],6
[ 157 -131   59 ...    1   95  155],6
[ 32  -9  29 ...   4   0 -18],5
[-14  74  78 ... -63 -52 -10],4
[ 6 14  2 ...  2  5  4],0
[-12 -10   5 ...   0   7   0],2
[-156    2 -154 ...  145  -11  169],6
[   0 -256    0 ... -256 -256 -256],8
[-330 -352 -390 ...  306  336  338],9
[-11  -1  -4 ...   1   7  22],1
[   0    0  256 ... -256    0 -256],6
[   0 -256    0 ... -512 -256    0],0
[  8 -17  21 ...  47   6  -7],3
[-1 -1 -2 ... -4 -1 -5],2
[-367 -527 -542 ...  456  437  376],7
[478 478 169 ...  91 125  88],1
[  1  10 -13 ... -10   7  12],5
[ -7  -9  -8 ... -13 -12  -7],0
[-12 -24 -18 ...  11  39  25],0
[-337 -327 -367 ... -350 -361 -317],9
[   0 -256 -256 ... -256 -512 -256],2
[ 29   8 -48 ... -55  15  81],5
[200  80  -2 ... -79 -10  54],8
[-20  10  26 ...  -3   5 -10],3
[ 40  14 -21 ...   1  27  63],8
[-18  13  -8 ...  29  18  34],7
[148 -14   5 ...   2  38  33],3
[-768  256 -512 ... -256    0    0],2
[-193   53  -68 ...  -51    3  155],6
[-253   -7   -8 ...    5    0  -11],6
[-392  301   59 ...  255   45 -329],8
[ 50  88 126 ... 104 114  90],3
[102  84  90 ... 203 170 116],1
[-59 -16 -32 ... -10 -19 -15],2
[  8  10   3 ... -14  14  -1],4
[-26  -1  16 ...  45  36  56],5
[   0 -256    0 ... -256 -512 -256],9
[ 2  0 -1 ... 33 36 31],5
[  24   22   -3 ... -142 -124  -94],2
[  2  -5  -4 ... -12  -8  -7],7
[ 4  5 -1 ... -9  4  8],6
[334 358 385 ... 122 152 311],1
[-256 -512 -512 ...    0 -256    0],3
[345 374 387 ... 334 316 304],9
[-159  136  -93 ...  -14  -99 -165],6
[-3  3 -4 ...  0 -8  7],8
[ 15 -15  -9 ... -46  11   6],6
[-343 -383 -419 ... -288 -328 -311],1
[10 21 23 ...  2 -3 31],1
[  9 -10  14 ... -21 -20 -16],7
[ 2 10  4 ... 13 11 12],3
[11 -5 -5 ... 16 30 33],3
[  4  11   5 ... -18 -17 -11],3
[-18   2  -4 ... -14  11  -7],3
[-1034  -744 -1838 ...   -65  -179  -260],8
[ 13   5   9 ...  -7 -14 -12],1
[ -5 -12   0 ...   3   8   6],2
[  0 -17   3 ...   2  11 -14],6
[-17 -15   2 ... -20  -9 -11],5
[ 1  2  1 ... -3 -6 -4],3
[-360   49 -225 ... -219 -247 -315],2
[ 3  7 -2 ... 32 21 26],7
[23 44 56 ... -4 37  9],3
[-256 -512 -256 ... -256 -768 -512],1
[-40  13  31 ...   3   1  12],6
[   0 -256    0 ... -768 -512 -512],1
[ 52  88  24 ... -50 -63 -78],4
[  0  -5 -12 ...  32  20   1],8
[-61  21  74 ... -54  45 -14],8
[  6 -13   1 ...  39  57  54],7
[ 1 -2 11 ... -9  4  3],3
[   0 -512 -256 ... -256 -512 -512],3
[-375 -407 -418 ... -279 -359 -318],5
[-256 -256    0 ... -256    0 -256],5
[ -768 -1024 -1024 ...  -256  -256  -512],1
[ -768 -1536 -1280 ...  -256     0  -256],9
[   0 -256    0 ...    0 -256    0],2
[ 46 -16 -18 ... 118 140 131],4
[-20 -44  96 ... -95  79 186],8
[-16 -16  -3 ...  -2   1   5],1
[ -1 -26 -35 ...  -8 -23 -25],7
[ -92  130 -213 ... -180 -207 -178],5
[ 350 -286  256 ...  323  313  303],7
[  0  -2   0 ... -10  -6 -10],8
[   0    0 -512 ... -256    0 -512],5
[ 32  35 101 ... -31 -39  14],9
[-6  1 -5 ... -7  6  1],0
[ 11   6  -4 ... -15 -11  -9],0
[-256 -256 -256 ... -768 -512 -512],1
[-14  -5  10 ...   1 -14 -10],6
[ 304 -216  203 ... -180 -247 -323],7
[ 11   9 -17 ... -16 -14  23],4
[ 1  0 -2 ... 11 12 11],2
[-512    0 -256 ...    0 -512 -256],6
[   9  954 7047 ...  -26  -65   46],1
[  2   1   2 ... -20  -2 -11],7
[ 0 11  9 ... -1  3 14],8
[-371 -438 -482 ...  325  325  304],1
[-46  11   4 ...  -5 -19 -25],3
[-101   61  -12 ... -124  -23  -40],6
[-1  0 -3 ... 17  4  3],2
[   0    0 -512 ... -256    0 -256],6
[-320 -318 -323 ... -251 -258 -329],9
[   0    0    0 ... -256 -256    0],5
[-7 -9  1 ... -5 -2  2],7
[-170  704 1118 ...  -64 -134 -115],0
[-474  355  105 ...  288  294  335],3
[ 230   83 -134 ... -222 -113   95],8
[15 11 14 ... -9 -7 -7],1
[ -464  -942 -1176 ...   342   398   319],3
[ 190 -126  174 ... -157 -132 -165],6
[20 -4  1 ...  0  2  1],0
[-1  2 -3 ...  8 10  9],9
[-7 -5 -5 ...  0  6  9],6
[-15 -27 -20 ... -58 -32 -14],4
[-3 -6  0 ... -2 -2 -6],7
[-12   6  11 ...  19  -9  14],2
[ 27 -13  54 ... -23   9  -7],6
[ -1   5   7 ... -10  -5  -9],1
[-8 -1 -5 ... 17 30 -7],2
[ -5 -30 -27 ...  -2   7 -42],5
[-16  -7  -6 ...  28  27  27],9
[-3  0 -1 ... -5 -3 23],3
[-407 -402 -412 ...  178  236  333],3
[   0 -512    0 ... -768 -512 -768],3
[-551  110  116 ...  177  185  329],3
[ 43   0 -62 ...   8 -35   5],5
[-362 -407 -452 ...  328  326  300],1
[-19   9 -14 ... -13  -7 -10],4
[ 3 12  6 ... 13 13  8],0
[-3  5 14 ...  6  1 -1],6
[ 1 26 33 ... 15 15 26],4
[ 55  94 104 ... 207 219 173],9
[-25 -26 -34 ...  54  91  81],2
[  3   7   8 ... -12 -14 -13],0
[-2583 -3652  -611 ...   172   128   166],9
[ -5  -6  -8 ... -11  -8  -3],2
[ 318  400  480 ... -344 -326 -305],9
[   0 -256 -256 ... -512 -256 -256],1
[   0 -512    0 ...  256  256  256],3
[-10  -3  -7 ... -16 -25 -42],2
[-4  3  9 ...  1 13 -7],6
[ 94  10  21 ... 148 160 111],3
[-178 -172 -198 ...   86  115  168],9
[ 5 -1 -3 ... -3  3  1],7
[ 47 -37  41 ...   3   6  13],7
[-383 -532 -576 ... -261 -308 -324],7
[ 2 -6 -3 ...  1  1  6],4
[-534  226 -514 ...   28  -71 -165],8
[ -95   96   41 ...  139   60 -124],4
[ 213  950 1636 ...  -51  -41  -28],2
[ -26  -71 -104 ...   28   19   28],3
[  0   6  21 ...  10 -14   7],3
[-1280    70  -123 ...   387   384   370],3
[315 379 455 ... 493 492 380],9
[-16  23  20 ...  -5  -2  -8],8
[123  88 102 ...  89 167  98],9
[1898 1426  798 ...   79   36   49],1
[13 -2 13 ...  7 -3 -3],9
[-309  -14   63 ...  315  317  307],5
[ 29  18  17 ...   4   0 -18],0
[26 27 18 ... 92 89 89],4
[14 12 -1 ... 19 18 38],5
[272 434 946 ...  66 214 223],8
[ 256  256  256 ... -512 -256 -512],6
[-13 -68 203 ... -85 -56 -76],5
[ 132   73 -107 ... -149  -68  -71],4
[ -2  -8 -18 ...   8  17   1],3
[-256 -256 -256 ... -512 -256 -256],8
[ -32   61   54 ... -270 -316 -285],9
[-124  232 -222 ...  -78 -136  -90],0
[ -64 -163    4 ...  110  109   59],4
[ -68   20  -71 ... -117  -93 -117],8
[ 7  6  7 ... 11  3 10],1
[ -1   6   7 ...  -9  -5 -15],7
[ 313  405  342 ... -197 -252 -372],4
[ 14  21   0 ...   3 -48 -80],4
[ 12  11  11 ... -36  -5  35],9
[-582 -635  669 ... -314 -324 -330],2
[ 310 -240  176 ...  228  188  313],7
[-256    0 -256 ... -256 -512    0],7
[   0 -256 -256 ...    0    0    0],4
[ 256  512    0 ... -256    0 -256],9
[-256 -512 -256 ... -256 -512 -256],9
[104  88  80 ... 183 187 172],1
[-383 -245  426 ...  345  335  365],3
[ -9   1  13 ... -22 -10  15],0
[-256    0    0 ... -512 -512 -512],3
[-399 -773 -248 ...  369  346  324],3
[ -3   8   4 ... -11 -13 -22],2
[-423 -149 -120 ...  404  378  342],5
[-23  18  12 ... -39 -40 -33],3
[-151    2  -78 ...   88  108  186],6
[ -1   1  -6 ... -16 -12 -20],3
[ 8 -8  0 ... -8 -4 -7],4
[   0 -256 -512 ... -256    0 -256],5
[-512    0 -256 ...    0 -256    0],4
[-3  2  5 ... 21 15 11],5
[  2   1   0 ... -15 -14 -16],9
[   0 -512    0 ... -256 -256 -256],7
[ 70 117  98 ...  -3  -3 -10],0
[-1  0 -3 ... 17 23 18],4
[-256 -256    0 ...    0    0    0],5
[-256    0 -256 ...    0 -256    0],4
[ 27 -42  12 ... -29  -9 -15],4
[-17  16  -5 ...  -1 -10  -5],7
[  0   3 -11 ...   4  -2  -2],0
[ 7 -4  1 ...  2  3 -3],2
[-21 -24 -32 ...   5 -73 -41],8
[ -26 -249 -189 ...   35  -24 -162],3
[ 0  7 10 ... -4 -2 -3],4
[ 77  28 -38 ...  11  51  63],2
[ -3   0  -4 ...  -4 -10  -6],8
[ 20 -14  -7 ... -23  51  42],5
[-183  298  138 ... -453 -418 -418],4
[  7 -12  -6 ... -12  -6  -4],3
[-238  163  -65 ...   84   34   61],7
[ -7  -1 -23 ...  97  87  81],2
[1024  768 1024 ... -256 -512    0],2
[  1  11   8 ... -17 -18 -26],4
[  1  -9   6 ... -22  -7   5],2
[ 27 -17  16 ...  15  15  -5],6
[-11  -8  -5 ...  -6  -6 -10],0
[-10   3  11 ...   5   0   9],3
[ -5 -14  -6 ...  10   7   8],7
[-2  0 -4 ... -4 -7 -8],8
[ 15   9 -40 ...  -8 -11  -3],6
[-10  -5  -5 ...   8   7   6],8
[  3  -4   4 ...  -2  -7 -19],4
[ 15  18  17 ... -12   9   6],2
[   0    0 -256 ... -512 -256 -256],5
[1193 1412  353 ... -119  105  -77],6
[-38 -87  31 ...  -4  11   5],0
[ 3  4  6 ... 14  7 12],3
[ 40 139  60 ...  26  45  89],6
[ 178  146   22 ...  -60   42 -203],8
[ 71  98 109 ...  58  45  60],0
[ -6 -12  -7 ...  11   1  19],1
[ 326 -320  210 ...  201  226  323],2
[ 440 -202  -99 ...   -8 -239  348],8
[ 5  6 10 ...  5  0 -2],5
[ 34  35  28 ...  -9 -11   3],9
[   0 -256 -256 ... -256 -256    0],6
[ 9  6 10 ... -8  0 -3],9
[-198 -328 -245 ...   44   48   19],5
[-3  1 -2 ...  8  1  4],8
[ 16 -14  -4 ...  -4 -14   5],4
[ 17  33   7 ...   0 -24  10],4
[2 0 2 ... 8 6 8],8
[104 -54 -96 ... -26 -92  33],7
[-256 -256    0 ...    0  256 -256],0
[   0    0    0 ... -256 -512 -256],8
[  4   2 -27 ...  14  16 -17],6
[  3  -5  -5 ...  -3 -14  -8],3
[-14 -13   1 ...   3   2   3],9
[   0 -256    0 ... -256 -256 -256],8
[-36 -16   3 ...  11  -3  27],5
[ 20  22   9 ... -52 -41 -19],8
[-11  -9  -4 ...  21   8  -2],2
[-16  15  19 ...  34  41  52],4
[-2 11 13 ... 28 14  9],9
[-314  246 -103 ...  180  402  306],8
[-160 -110  -79 ... -500  329  353],6
[-256    0    0 ...    0 -256 -256],5
[ 256  512  256 ... -512 -256 -512],9
[ -2   1  -4 ...   1   5 -12],3
[-5 -2  2 ...  4 10 10],2
[   0 -256 -256 ... -256 -512 -256],6
[-315 -571 -520 ...  405  361  315],7
[-388 -124  -40 ... -266 -314 -301],4
[ 0  1  1 ...  0 -8 -9],2
[  8   0  -9 ...  10   2 -10],6
[  0   8 -17 ...  19   9   2],3
[-30 -14   1 ...  41  42 123],2
[-256 -256 -256 ... -512 -256 -512],1
[-256    0 -256 ...    0 -256    0],4
[-51 -77  73 ... -51  22  31],4
[ 5 44  2 ...  4  1  2],7
[-422   70  -27 ...  270  320  326],7
[-9  1 -8 ... 13 14 18],5
[-27 -24 -26 ... -26 -29 -22],9
[-2723 -2890 -1039 ...   -95   -70   -50],7
[18 14 18 ...  8 17 44],9
[-199 -197 -131 ...  -69 -101  -69],0
[-2  3 -1 ... -1  2 -4],2
[-15  -9 -14 ...  13   5   3],3
[-15 -13  -8 ... -11  -7 -11],6
[   0    0    0 ... -256    0    0],1
[   0    0    0 ...    0    0 -256],5
[-69 -30  45 ... -10   6  13],5
[  0  -3   1 ...   2  -2 -13],8
[-151 -104  -50 ...  -88 -147 -161],6
[  -3   -4  -16 ... -202  -74   43],7
[154 -48 167 ...  69  94 175],6
[   0 -256 -256 ...    0 -256    0],2
[-90 -84 -99 ...  65  80  84],9
[ 256  512  256 ... -512 -256 -512],6
[59 61 54 ... 37 29 31],9
[12  9  4 ...  2 -3  4],5
[  2   0  -2 ...  -5 -11   8],8
[-512 -256 -256 ... -256 -512 -256],7
[-541   21   84 ...   30  272  359],4
[   0 -256    0 ...    0 -256    0],9
[ 312 -124 -119 ...  228  283  303],7
[ 256    0  256 ...    0 -256    0],1
[30 35 29 ... 30  6 57],1
[ 1  0 -2 ...  1  3  9],8
[  0  -5   1 ...   0 -10   0],3
[-13  -5  -6 ... -15   1  -8],0
[-1  0 -3 ... -4  4  8],8
[-256    0 -256 ... -256 -256 -256],8
[-256 -256    0 ...    0    0 -256],3
[-551 -577  122 ... -256    0  315],8
[  8   5 -11 ...  -1   1  12],3
[-12  -8  -5 ...   1   5   3],4
[  82 -145 -169 ... -198 -166 -153],7
[ 15   6  13 ... -13 -11 -11],8
[ 345  326  323 ... -338 -369 -338],4
[-10   7 -13 ...  -8  -9  -7],5
[   0 -256    0 ... -512 -256 -512],9
[-143   43   49 ...   92  152  110],4
[355 425 481 ... 398 372 332],0
[ -1   5  -1 ...   0  -1 -10],9
[-82  29  38 ...  25  -5 -71],3
[1226 1592 1901 ...  131  116  108],9
[-15  -4 -17 ...   2   0  -6],0
[-907  439    5 ...  359  343  303],2
[-72  66 -81 ...   7  -7  36],6
[  76   25 -122 ...  -29  -68   11],6
[-1306   -16   132 ...   325   330   306],2
[-307 -265 -126 ...  120  213 -323],8
[  28 -112  -11 ...   58  135  182],5
[14 20 -6 ... 50 32 50],8
[-256 -256 -256 ... -256 -256 -256],8
[179 208 246 ... 166 198 274],9
[  0   0   8 ...  13  -1 -34],5
[ 36  18  63 ... -22 -35  15],0
[ -5  15 -16 ...  12  14  15],3
[   0    0 -256 ...    0 -256    0],5
[ 40 -18  29 ...   8  10 -10],6
[  398  -108  -268 ... -1197  -894  -268],4
[ -90 -106  -82 ...  100   57   77],1
[-743  -44  -45 ... -386 -316 -329],3
[-276  -65  -87 ...  108  -35   59],3
[-161  -75 -147 ... -197 -228 -267],4
[-14   7   0 ...  -4   1   9],5
[-6  7  8 ... 26 28  0],8
[ -7 -22 -10 ...  -1   8  -4],2
[-1153  1330 -1187 ...   247   308   317],2
[-338   86 -179 ...  -95  -71  -80],7
[2098 3178  905 ...  127  -35   41],3
[ 7  3 10 ...  6 -6 -4],2
[-707  604 -375 ...  210  266  301],2
[   0 -512 -256 ... -256    0    0],2
[ 724 1042  772 ...   18   44   35],9
[-126  -54    8 ...  -59 -117 -218],4
[  3 -17 -14 ... -15 -18 -20],4
[-145   71   67 ...   54   79   43],5
[ 13   3 -29 ...  49  12 -11],4
[-372  -92  125 ...  320  341  320],5
[-4  4  8 ... 16  8  5],3
[-447   11 -711 ...  237  260  302],2
[ 305 -116   29 ... -295 -315 -312],7
[-218 -236 -169 ...  326  456  491],1
[-19 -15 -24 ...  21  19  15],7
[-72 -30 -79 ...   7  32  44],9
[-34 -40 -44 ...  10   9  10],1
[-767  364   56 ...  259  297  303],2
[ 29  26  25 ...   7 -20 -12],9
[-256 -512 -768 ... -512 -256 -256],8
[ -7   7 -16 ...   6  -4   6],3
[ 1 -2 -9 ... 20  7 11],7
[-4  4 -5 ... -1  9 -3],8
[-256 -256 -512 ... -256 -256 -512],6
[ -975 -2007 -3197 ...   203   260   338],4
[ 343 -554   -6 ...  -19   -9    0],1
[108  94  68 ...  24  34  32],9
[32 30 27 ...  9 22 12],0
[-20 -26  -5 ... -46 -16  -5],5
[ 94 -70 -78 ...  14   8  19],1
[  8 -17  -3 ...   9   4   4],7
[-256    0 -256 ... -512 -256 -512],9
[-256 -256 -256 ... -256 -256 -256],8
[   0 -256 -256 ... -512 -256 -512],2
[-337 -272 -425 ... -296 -310 -312],7
[-12   5 -32 ...  11  -3   9],2
[-32 -42 -48 ...  44  33  32],1
[ 0 -1 -1 ... -3 -5 -1],2
[-6 -3  2 ... -6 -1  3],0
[ -3 -31   1 ... -18 -14  18],5
[ -20  -27  -24 ...   -6 -129 -110],6
[-166 -181 -212 ...  149  153  154],9
[-20  78 -10 ...  93 101 110],7
[ 1 -5  1 ... -5  4  0],2
[116 -15 -24 ... 129  13  57],5
[ 0  2 -3 ... -3  0  2],9
[14  7 11 ... -9 -7 -2],0
[360 356 384 ... 342 343 300],4
[-15  13  -7 ...  10  10  12],7
[  7   9   4 ...  -2 -13   1],2
[ 185 -221  258 ...  134  174  212],7
[-73 -62 -68 ...  -2  21  33],1
[5191 3701 1785 ...   96   94   21],1
[-512 -256 -512 ...  256    0  256],0
[-1489  -962  -606 ... -1814 -1110   -15],0
[   0    0 -256 ...    0    0 -256],4
[-169    1 -144 ... -131 -110 -151],6
[-203  -69 -259 ...   56  -29  172],8
[-256 -512    0 ...    0  256    0],0
[ 21  22  18 ... -30 -39 -27],1
[-16  33 -19 ...  12   7 -53],8
[ 1704    50 -1332 ...    74   129   134],5
[ -5  -5 -10 ...  12  71  13],8
[-16   4   6 ...  30  26  31],1
[-345 -399 -456 ...  294  289  309],1
[-14 -12  -7 ...  -1   2   5],1
[-8 -7 -5 ...  0  2 14],1
[-66 -15  54 ... 292 351 366],7
[ 3  4  5 ... -7 -8 -8],7
[ 257 -641   66 ...  151  173  156],3
[-256 -512    0 ...    0    0    0],2
[19 16 18 ...  2 15  4],7
[  8 -24  -7 ...  24 -14 -20],8
[ 0  2  3 ... 14  8 -3],5
[ 20   8   2 ... -35  19  16],4
[-107 -134  -51 ...   21   39    9],9
[ 2 -8  9 ...  3 -4  2],5
[ -4  -1  -1 ...  -1 -10   8],8
[ 2 12  1 ... 12 45 41],4
[ -8 -10  -6 ...  -3 -18  17],6
[-180   26 -194 ... -137 -176 -171],6
[-315 -336  -68 ...  -38 -184 -315],5
[-13   0  12 ... -10 -21  -9],4
[   0 -256 -256 ... -256    0 -256],7
[15  7  4 ... 22  9 24],4
[  4  36 -33 ...  22   8 -30],4
[   0 -512 -256 ... -256    0 -256],6
[-512 -256 -512 ...    0    0 -256],1
[-2706   234  3671 ...   -64   -77   -78],7
[-302 -312 -103 ... -338 -333 -348],0
[-256 -256 -512 ... -256 -512 -256],5
[ -4  -8 -10 ...  -3 -19  13],7
[-9 10 35 ... 82 78 77],1
[-256 -256 -256 ...    0 -256    0],9
[ 512  512  256 ...    0 -512    0],8
[ 409 -524 -395 ... -446 -397 -352],3
[-256 -256    0 ...    0 -256    0],2
[-187   43  103 ...   -5  -49  -82],6
[   0 -256 -256 ... -256 -512 -256],7
[ -37  -90  -19 ... -110 -188 -179],2
[ 4 -3  2 ...  1  3 -7],8
[  67  238  -70 ...  -36 -129 -161],4
[  8  -5   1 ...  -3  -4 -17],3
[ 2 11  4 ...  0 -5 -9],3
[-1348  1251   -76 ...   341   337   314],2
[  7 -23  21 ...   5 -21 -47],2
[10 -9 -2 ... 13  3  4],6
[ 7 -4 13 ...  6  2 10],7
[-256 -256 -256 ... -512 -256 -512],2
[ -256  -256     0 ...     0  -256 -1024],6
[-1 -2 -1 ... -8 13 -7],8
[ 256    0  256 ...    0 -256    0],0
[ 36 -55  29 ...  99  96  86],7
[-7 -6 14 ... 14 16 13],0
[ 181 -143  150 ...  -86  108 -174],8
[   5 -137  -63 ... -122   19  -99],6
[ 0 -3  1 ... 16 19 15],4
[-371   73  120 ... -277 -337 -324],7
[28  8  7 ...  1 -6 -7],3
[ -768 -1280 -1536 ... -3328 -2816 -2304],6
[  8  16   5 ... -20 -23  12],8
[-942  867 -154 ... -262 -318 -313],2
[-2  1 -3 ...  6  5 -1],2
[-25 -42 -29 ...  27 -21 -42],0
[-16 -12  -3 ... -18 -12 -17],9
[-6 -8 -8 ...  3 -6 -6],6
[-39 -42 -52 ...  30  36  18],1
[-1 -2  0 ... 11 10  5],2
[  889 -3165 -7155 ...   -99  -131  -185],7
[ 256    0    0 ... -256 -512 -256],1
[   0 -256    0 ... -256    0    0],7
[-2 -5 -5 ...  2 -2  2],5
[-10  -5  -6 ...  10   8   4],5
[ 304 -166  -80 ...  237  308  322],7
[105  76 111 ...  53  45  -1],9
[-7 -3  4 ...  4 -6 -8],4
[-10 -12 -14 ...  -2  -1  -8],4
[-345 -387 -421 ...  304  325  305],1
[ 174  -15   95 ... -117  -80 -152],6
[-310 -333 -332 ... -259 -306 -317],4
[ 0  0 -1 ...  5  5  9],5
[ 2 -7  3 ...  4  2 -4],8
[-2  1 -3 ...  6  9  7],6
[ -36  -52  -62 ...  -63  -59 -101],0
[ 132 -203   49 ...   10    4   13],0
[-4 -9 -2 ... -3  1 -3],6
[-420 -586  266 ...  232  313  314],2
[8 6 3 ... 1 9 6],0
[-512 -256 -512 ... -256    0 -256],0
[156 165 174 ... 143 136 156],9
[-303  313 -412 ...  272  298  316],7
[13 17  9 ...  1  5  8],5
[-22  22  16 ...  -3   1 -11],6
[ 352 -114 -147 ... -107  -31   36],7
[-308 -251 -243 ... -261 -291 -304],5
[-34 -12  11 ...   4  11 -19],1
[ -6  -5  -5 ... -10   3   1],4
[   0    0    0 ...    0    0 -256],0
[ -14   25   16 ...  -61 -103   -9],5
[-17 -18 -29 ...  -4 -23 -13],5
[  5  -7   3 ... -10   2   5],8
[ 4  7  7 ... 10  5  4],2
[ 256  256    0 ... -512    0 -256],3
[-10  17   4 ...  -3  10   8],5
[ -38   68   79 ... -163  -72  -70],5
[ 2  5 12 ... 17 24 12],2
[   0    0    0 ... -512 -256 -512],4
[ 2  7  2 ... 17  8 10],9
[ -4   6   3 ... -40  -3  14],8
[  3  -5 -10 ...   3  -3   3],7
[-88 -38  44 ... 460 405 423],4
[ 3  7 14 ... 18  4 -2],2
[-22 -28   0 ... -13 -21 -13],4
[  9   0  -2 ...  -5  -7 -10],0
[-1  0 -5 ...  0 -2  1],5
[-2  8  8 ... 18  8 16],3
[-505   65  149 ... -299 -329 -324],4
[-256 -512    0 ...    0 -512 -256],1
[11  7 -2 ...  1  0 -1],3
[ 7 -5 -5 ...  7  6 13],0
[10  5  6 ... 14 20 16],1
[ 249   94 -245 ...   -2   70  127],0
[-12  34 -23 ... -11 -49  35],5
[ 13 -85 -77 ...  91 109 129],4
[  3  23 -15 ...  36  22  21],3
[-148 -165 -133 ... -178 -168 -106],0
[-1693  -432 -1706 ...    90   -59  -403],8
[31 10 21 ... 15 36 10],0
[-423 -160  243 ... -335 -344 -306],3
[-1024 -1280 -1024 ...  -256     0     0],1
[-256    0 -256 ...  256    0  256],2
[-542 -423 -166 ...  402  344  322],3
[-795  426  187 ... -282 -322 -326],2
[-30  -9  -5 ... -18  -8  -5],7
[ 2 11 18 ... 21 10 12],8
[-15  -6  -1 ...   5  23  41],9
[-1539  -995 -1298 ...  -137   -70   -23],9
[ 175 -205  148 ... -122 -104  -50],7
[ 256  512  256 ... -768 -512 -768],0
[-38 -29 -20 ...  40  36  40],9
[-256 -256 -256 ... -256    0 -256],9
[-864 -176 -104 ... -344 -310 -318],3
[  2   4  -4 ... -11 -13  -7],0
[-218 -184 -144 ...   88   27  -79],0
[-256    0    0 ...    0 -512 -256],5
[28 16 12 ... -3 -6 16],5
[ 21   0 -12 ... -14  36   0],6
[-512 -512 -768 ... -256 -256    0],0
[   0    0    0 ... -256 -256 -256],5
[25 11 -5 ... 22 28 30],7
[ 23 -64  39 ... -24  31  55],8
[ -5 -11  -4 ...  -3  -1  14],5
[ -6 -11 -20 ... -19  -8  -5],9
[ 8 16 -2 ...  0 10  9],5
[  9   4   2 ... -20 -17 -23],1
